Name of Stock,End of Year Book Value,End of Year Fair Market Value
HANSA INVESTMENT CO LTD,"10,022,556","10,022,556"
HASEKO CORP,"14,594,286","14,594,286"
HAZAMA ANDO CORP,"17,229,343","17,229,343"
HEINEKEN NV,"7,761,514","7,761,514"
HELVETIA HOLDING AG REG,"850,157","850,157"
HENDERSON EUROTRUST PLC,"712,673","712,673"
HERO MOTOCORP LTD,"54,554,808","54,554,808"
HIROSE ELECTRIC CO LTD,"60,616,560","60,616,560"
HITACHI CAPITAL CORP,"27,142,961","27,142,961"
HOGY MEDICAL CO LTD,"15,324,887","15,324,887"
HOMESERVE PLC,"7,356,541","7,356,541"
HONDA MOTOR CO LTD,"39,715,604","39,715,604"
HOSHIZAKI CORP,"4,668,730","4,668,730"
HSBC CHINA DRAGON FUND,"8,104,329","8,104,329"
HYUNDAI MOTOR CO,"91,937,829","91,937,829"
IMERYS SA,"432,202","432,202"
INCHCAPE PLC,"3,399,663","3,399,663"
INDIA FUND INC/THE,"3,742,740","3,742,740"
ING EMERGING MARKETS HIGH DI,"530,452","530,452"
INSIGHT SELECT INCOME FUND,"25,803","25,803"
INTERNATIONAL PERSONAL FINAN,"593,745","593,745"
INTESA SANPAOLO,"990,216","990,216"
INVESCO BOND FUND,"20,887","20,887"
IRISH CONTINENTAL GROUP PLC,"1,782,989","1,782,989"
ISHARES 20 YEAR TREASURY BOND,"78,865","78,865"
ISHARES CORE MSCI EAFE ETF,"1,082,640","1,082,640"
ISHARES MSCI AUSTRALIA ETF,"4,130,680","4,130,680"
ISHARES MSCI CHINA ETF,"8,536,829","8,536,829"
ISHARES MSCI FRANCE ETF,"2,075,291","2,075,291"
ISHARES MSCI JAPAN ETF,"2,705,846","2,705,846"
ISHARES MSCI SOUTH KOREA ETF,"31,573,896","31,573,896"
ISHARES S+P/TSX 60 INDEX ETF,"3,578,281","3,578,281"
ITAU UNIBANCO H SPON PRF ADR,"43,463,624","43,463,624"
ITV PLC,"5,113,704","5,113,704"
JAPAN POST HOLDINGS CO LTD,"36,712,092","36,712,092"
JAPAN SMALLER CAPITALIZATION F,"3,113,575","3,113,575"
JD.COM INC CL A,"68,577,752","68,577,752"
JOHN HANCOCK INCOME SECURITIES,"94,380","94,380"
JOLLIBEE FOODS CORP,"12,116,761","12,116,761"
JPMORGAN CHASE + CO,"3,761,272","3,761,272"
JPMORGAN EMERGING MARKETS INVE,"36,732,489","36,732,489"
JPMORGAN EUROPEAN SMALLER COS,"8,734,936","8,734,936"
JPMORGAN INDIAN INVESTMENT TRU,"22,050,947","22,050,947"
JPMORGAN JAPANESE INVESTMENT T,"10,907,474","10,907,474"
JUST EAT TAKEAWAY,"4,426,934","4,426,934"
KADOKAWA CORP,"21,818,175","21,818,175"
KAMIGUMI CO LTD,"20,973,897","20,973,897"
KANDENKO CO LTD,"16,911,231","16,911,231"
KANGDE XIN COMPOSITE MATER A,"5,396,952","5,396,952"
KATAKURA INDUSTRIES CO LTD,"4,508,693","4,508,693"
KELLY TOPCO LIMITED,"773,186","773,186"
KEYENCE CORP,"82,748,801","82,748,801"
KINDEN CORP,"35,777,035","35,777,035"
KOC HOLDING AS,"10,107,914","10,107,914"
KOMATSU LTD,"43,892,363","43,892,363"
KONINKLIJKE KPN NV,"3,414,214","3,414,214"
KONOIKE TRANSPORT CO LTD,"10,654,062","10,654,062"
KUREHA CORP,"13,730,931","13,730,931"
KYOCERA CORP,"25,286,844","25,286,844"
KYUDENKO CORP,"7,779,515","7,779,515"
LEGRAND SA,"8,054,532","8,054,532"
LG CORP,"33,047,017","33,047,017"
LIBERTY GLOBAL PLC A,"51,334,653","51,334,653"
LIBERTY LATIN AMERIC CL C,"7,507,697","7,507,697"
LLOYDS BANKING GROUP PLC,"7,514,767","7,514,767"
LOGITECH INTERNATIONAL REG,"4,587,940","4,587,940"
MACQUARIE GLOBAL INFRASTRUCTUR,"212,091","212,091"
MAEDA CORP,"26,873,620","26,873,620"
MARUI GROUP CO LTD,"6,000,511","6,000,511"
MASAN CONSUMER CORP,"1,799,363","1,799,363"
MAXELL HOLDINGS LTD,"16,151,448","16,151,448"
MEDIASET ESPANA COMUNICACION,"334,443","334,443"
MEGMILK SNOW BRAND CO LTD,"20,769,250","20,769,250"
MELCO RESORTS + ENTERT ADR,"143,410","143,410"
MEXICO FUND INC/THE,"10,048,870","10,048,870"
MFS GOVERNMENT MARKETS INCOME,"128,006","128,006"
MGM CHINA HOLDINGS LTD,"7,887,022","7,887,022"
MIDEA GROUP CO LTD A,"146,784,053","146,784,053"
MILLER/HOWARD HIGH DIVIDEND FU,"400,272","400,272"
MING YUAN CLOUD GROUP HOLDIN,"25,990,289","25,990,289"
MISUMI GROUP INC,"56,326,505","56,326,505"
MITSUBISHI LOGISTICS CORP,"53,832,951","53,832,951"
MODERN TIMES GROUP B SHS,"1,039,389","1,039,389"
MORGAN STANLEY,"3,323,705","3,323,705"
MORGAN STANLEY EMERGING MARKET,"1,373,553","1,373,553"
MS+AD INSURANCE GROUP HOLDIN,"15,393,927","15,393,927"
NAGAILEBEN CO LTD,"13,313,728","13,313,728"
NAKANISHI INC,"32,437,687","32,437,687"
NATIONAL EXPRESS GROUP PLC,"836,571","836,571"
NEC CORP,"41,478,231","41,478,231"
NETEASE INC ADR,"28,826,770","28,826,770"
NEW HOPE LIUHE CO LTD A,"14,853,552","14,853,552"
NEW WORLD DEVELOPMENT,"5,227,431","5,227,431"
NHK SPRING CO LTD,"15,943,629","15,943,629"
NIKON CORP,"12,610,780","12,610,780"
NIPPO CORP,"32,287,278","32,287,278"
NIPPON ELECTRIC GLASS CO LTD,"15,841,929","15,841,929"
NIPPON SHOKUBAI CO LTD,"15,031,527","15,031,527"
NIPPON SUISAN KAISHA LTD,"10,307,843","10,307,843"
NIPPON TELEVISION HOLDINGS,"57,522,737","57,522,737"
NOMURA CO LTD,"4,405,033","4,405,033"
NON STANDARD FINANCE PLC,"23,784","23,784"
NORFOLK SOUTHERN CORP,"2,780,037","2,780,037"
NS SOLUTIONS CORP,"18,982,885","18,982,885"
NSK LTD,"2,705,921","2,705,921"
NUVEEN AMT FREE MUNICIPAL CRED,"99,774","99,774"
NUVEEN DOW 30SM DYNAMIC OVERWR,"79,785","79,785"
NUVEEN GEORGIA QUALITY MUNICIP,"48,895","48,895"
NUVEEN INTERMEDIATE DURATION Q,"331,145","331,145"
NUVEEN MICHIGAN QUALITY MUNICI,"234,891","234,891"
NUVEEN MUNICIPAL CREDIT INCOME,"57,661","57,661"
NUVEEN NEW YORK AMT FREE QUALI,"455,312","455,312"
NUVEEN QUALITY MUNICIPAL INCOM,"684,026","684,026"
OBIC CO LTD,"49,252,448","49,252,448"
OCI NV,"10,132,887","10,132,887"
OJI HOLDINGS CORP,"37,416,879","37,416,879"
OMRON CORP,"7,458,376","7,458,376"
ORACLE CORP,"2,574,662","2,574,662"
ORASCOM CONSTRUCTION PLC,"1,372,356","1,372,356"
ORIX CORP,"21,229,492","21,229,492"
PACIFIC ASSETS TRUST PLC/FUND,"3,505,480","3,505,480"
PAGEGROUP PLC,"1,212,236","1,212,236"
PENTA OCEAN CONSTRUCTION CO,"44,001,626","44,001,626"
PERNOD RICARD SA,"1,203,492","1,203,492"
PERSOL HOLDINGS CO LTD,"5,173,200","5,173,200"
PETS AT HOME GROUP PLC,"2,143,132","2,143,132"
PGIM HIGH YIELD BOND FUND INC,"136,095","136,095"
PIOLAX INC,"5,369,752","5,369,752"
PLAYTECH PLC,"188,517","188,517"
PNC FINANCIAL SERVICES GROUP,"2,920,400","2,920,400"
PRONEXUS INC,"3,119,134","3,119,134"
PROVIDENT FINANCIAL PLC,"1,650,489","1,650,489"
PULTEGROUP INC,"2,306,920","2,306,920"
RAIZNEXT CORP,"9,698,041","9,698,041"
RATHBONE BROTHERS PLC,"571,009","571,009"
RECKITT BENCKISER GROUP PLC,"8,277,433","8,277,433"
REMGRO LTD,"21,222,838","21,222,838"
RENEWABLES INFRASTRUCTURE GROU,"1,612,299","1,612,299"
RESONA HOLDINGS INC,"82,615,360","82,615,360"
RIGHTMOVE PLC,"11,422,191","11,422,191"
RIT CAPITAL PARTNERS PLC/FUND,"2,124,091","2,124,091"
ROHM CO LTD,"58,433,445","58,433,445"
ROTORK PLC,"908,293","908,293"
SAIPEM SPA,"3,400,209","3,400,209"
SAMSUNG ELECTRONICS CO LTD,"131,146,777","131,146,777"
SANDVIK AB,"6,108,208","6,108,208"
SANY HEAVY INDUSTRY CO LTD A,"89,140,853","89,140,853"
SCHIBSTED ASA CL A,"1,705,902","1,705,902"
SCHRODER ASIAPACIFIC FUND PLC,"23,665,433","23,665,433"
SCHRODER UK MID CAP FUND PLC,"491,432","491,432"
SCHRODINGER TBD,"725,620,802","725,620,802"
SCOTTISH MORTGAGE INVESTMENT T,"973,366","973,366"
SCSK CORP,"10,937,673","10,937,673"
SEGA SAMMY HOLDINGS INC,"46,038,845","46,038,845"
SEKISUI CHEMICAL CO LTD,"9,411,828","9,411,828"
SEKISUI JUSHI CORP,"9,290,523","9,290,523"
SENKO GROUP HOLDINGS CO LTD,"4,965,447","4,965,447"
SERCO GROUP PLC,"4,814,619","4,814,619"
SHENGYI TECHNOLOGY CO LTD A,"73,271,650","73,271,650"
SHIMANO INC,"59,626,384","59,626,384"
SHIN ETSU CHEMICAL CO LTD,"75,361,054","75,361,054"
SIGNATURE AVIATION PLC,"80,312,017","80,312,017"
SINOMA SCIENCE+TECHNOLOGY A,"51,009,706","51,009,706"
SMITH + NEPHEW PLC,"1,147,141","1,147,141"
SONOVA HOLDING AG REG,"3,283,930","3,283,930"
SSP GROUP PLC,"5,734,571","5,734,571"
STABILUS SA,"3,287,999","3,287,999"
STANDARD CHARTERED PLC,"543,116","543,116"
SUMITOMO ELECTRIC INDUSTRIES,"40,746,834","40,746,834"
SUMITOMO METAL MINING CO LTD,"5,685,775","5,685,775"
SUMITOMO MITSUI TRUST HOLDIN,"43,566,241","43,566,241"
SUNAC SERVICES HOLDINGS LTD,"276,637","276,637"
SUZUKI MOTOR CORP,"24,413,698","24,413,698"
SWISS HELVETIA FUND INC/THE,"503,134","503,134"
TACHI S CO LTD,"13,687,564","13,687,564"
TAIKISHA LTD,"7,212,940","7,212,940"
TAIWAN FUND INC/THE/MD,"9,285,377","9,285,377"
TAKAMATSU CONSTRUCTION GROUP,"6,734,467","6,734,467"
TAKEDA PHARMACEUTICAL CO LTD,"39,268,473","39,268,473"
TARGET CORP,"3,345,244","3,345,244"
TAYLOR WIMPEY PLC,"1,386,868","1,386,868"
TDK CORP,"16,797,559","16,797,559"
TECHNIPFMC PLC,"432,221","432,221"
TECHNOPRO HOLDINGS INC,"4,455,325","4,455,325"
TELEPERFORMANCE,"2,903,559","2,903,559"
TEMPLE BAR INVESTMENT TRUST PL,"988,633","988,633"
TEMPLETON EMERGING MARKETS FUN,"5,671,392","5,671,392"
TEMPLETON GLOBAL GROWTH FUND L,"1,552,136","1,552,136"
TENARIS SA ADR,"20,965,382","20,965,382"
TESCO PLC,"4,327,763","4,327,763"
THE CHINA A SHARE CEF FUND,"9,655,122","9,655,122"
THIRD POINT INVESTORS LTD,"13,956,257","13,956,257"
TOAGOSEI CO LTD,"15,248,196","15,248,196"
TODA CORP,"20,176,764","20,176,764"
TOHO HOLDINGS CO LTD,"26,085,636","26,085,636"
TOKIO MARINE HOLDINGS INC,"42,825,938","42,825,938"
TOKYO OHKA KOGYO CO LTD,"35,567,098","35,567,098"
TONGCHENG ELONG HOLDINGS LTD,"7,502,080","7,502,080"
TOPRE CORP,"8,039,372","8,039,372"
TOTAL SE SPON ADR,"1,613,535","1,613,535"
TOYO SEIKAN GROUP HOLDINGS L,"27,983,701","27,983,701"
TOYOTA INDUSTRIES CORP,"84,148,889","84,148,889"
TR EUROPEAN GROWTH TRUST PLC,"6,461,237","6,461,237"
TRAVELEX TOPCO LIMITED,60,60
TRIP.COM GROUP LTD ADR,"5,746,277","5,746,277"
TRUWORTHS INTERNATIONAL LTD,"15,945,057","15,945,057"
TUI AG DI,"2,664,030","2,664,030"
TV ASAHI HOLDINGS CORP,"17,207,613","17,207,613"
UBS GROUP AG REG,"704,680","704,680"
UNICREDIT SPA,"3,916,922","3,916,922"
UNIPRES CORP,"4,509,661","4,509,661"
UNITEDHEALTH GROUP INC,"2,211,037","2,211,037"
VANGUARD FTSE ALL WORLD EX US,"1,124,889","1,124,889"
VANGUARD INTERMEDIATE TERM COR,"485,700","485,700"
VANGUARD TOTAL BOND MARKET ETF,"4,703,085","4,703,085"
VICAT,"601,098","601,098"
VIETNAM ENTERPRISE INVESTMENTS,"214,344,474","214,344,474"
VIETTEL POST JSC,"3,364,170","3,364,170"
VISA INC CLASS A SHARES,"3,062,220","3,062,220"
VOLKSWAGEN AG PREF,"4,307,253","4,307,253"
VOYA GLOBAL EQUITY DIVIDEND AN,"1,049,956","1,049,956"
WALMART INC,"1,673,913,045","1,673,913,045"
WANHUA CHEMICAL GROUP CO A,"80,202,679","80,202,679"
WARTSILA OYJ ABP,"1,583,303","1,583,303"
WEICHAI POWER CO LTD A,"41,081,332","41,081,332"
WESTERN ASSET EMERGING MARKETS,"156,709","156,709"
WESTERN ASSET HIGH YIELD DEFIN,"1,607,550","1,607,550"
WH GROUP LTD,"6,279,655","6,279,655"
WIENERBERGER AG,"4,075,313","4,075,313"
WPP PLC,"3,958,751","3,958,751"
YAKULT HONSHA CO LTD,"2,392,368","2,392,368"
YIHAI INTERNATIONAL HOLDING,"40,029,792","40,029,792"
YOKOGAWA ELECTRIC CORP,"19,681,556","19,681,556"
YUSHIN PRECISION EQUIPMENT,"4,636,946","4,636,946"
ZEON CORP,"22,920,238","22,920,238"
ZHONGSHENG GROUP HOLDINGS,"92,275,128","92,275,128"
ZOOPLUS AG,"920,579","920,579"
ABB LTD REG,"4,222,798","4,222,798"
ABERDEEN ASIA PACIFIC INCOME I,"2,968,924","2,968,924"
ABERDEEN EMERGING MARKETS EQUI,"19,418,556","19,418,556"
ABERDEEN JAPAN EQUITY FUND INC,"1,083,622","1,083,622"
ABERDEEN LATIN AMERICAN INCOME,"1,536,339","1,536,339"
ABERDEEN NEW INDIA INVESTMENT,"4,626,911","4,626,911"
ABERDEEN STANDARD ASIA FOCUS P,"24,939,227","24,939,227"
ABERFORTH SMALLER COMPANIES TR,"491,314","491,314"
ADECCO GROUP AG REG,"6,325,057","6,325,057"
ADEVINTA ASA,"606,966","606,966"
ADMIRAL GROUP PLC,"4,524,075","4,524,075"
AEON MALL CO LTD,"11,109,282","11,109,282"
AIR WATER INC,"16,719,074","16,719,074"
AIRPORTS CORP OF VIETNAM JSC,"4,775,738","4,775,738"
ALFRESA HOLDINGS CORP,"28,794,694","28,794,694"
ALIBABA GROUP HOLDING SP ADR,"50,246,407","50,246,407"
ALLIANCEBERNSTEIN NATIONAL MUN,"377,155","377,155"
ALPHABET INC CL A,"43,560,115","43,560,115"
ALTEN SA,"2,743,698","2,743,698"
AMAZON.COM INC,"105,622,240","105,622,240"
AMEDEO AIR FOUR PLUS LTD,"279,477","279,477"
AMERICAN TOWER CORP,"2,154,816","2,154,816"
AMGEN INC,"1,793,376","1,793,376"
AMPLIFON SPA,"1,720,297","1,720,297"
ANEST IWATA CORP,"3,995,488","3,995,488"
ANHUI CONCH CEMENT CO LTD A,"44,153,302","44,153,302"
APPLE INC,"139,975,079","139,975,079"
ARCS CO LTD,"14,098,855","14,098,855"
ASIA DRAGON TRUST PLC,"51,337,072","51,337,072"
ASML HOLDING NV,"3,422,467","3,422,467"
ASTRA INTERNATIONAL TBK PT,"7,066,988","7,066,988"
AUTO TRADER GROUP PLC,"3,245,796","3,245,796"
AVI JAPAN OPPORTUNITY TRUST PL,"720,824","720,824"
AZBIL CORP,"20,064,623","20,064,623"
BAIDU INC SPON ADR,"14,513,813","14,513,813"
BAILLIE GIFFORD UK GROWTH FUND,"1,630,347","1,630,347"
BANGLADESH FUND,"1,544,337","1,544,337"
BANKIA SA,"2,261,634","2,261,634"
BARRATT DEVELOPMENTS PLC,"1,284,928","1,284,928"
BAYERISCHE MOTOREN WERKE AG,"4,116,601","4,116,601"
BERKSHIRE HATHAWAY INC CL B,"9,762,746,996","9,762,746,996"
BIDVEST GROUP LTD,"47,858,403","47,858,403"
BLACKROCK 2022 GLOBAL INCOME O,"12,457","12,457"
BLACKROCK CREDIT ALLOCATION IN,"1,534,709","1,534,709"
BLACKROCK ENHANCED INTERNATION,"1,972,567","1,972,567"
BLACKROCK INCOME TRUST INC,"142,165","142,165"
BLACKROCK MUNI INTERMEDIATE DU,"501,372","501,372"
BLACKROCK MUNIYIELD MICHIGAN Q,"284,115","284,115"
BLACKROCK RESOURCES + COMMODIT,"1,948,852","1,948,852"
BMO GLOBAL SMALLER COMPANIES P,"644,956","644,956"
BOOKING HOLDINGS INC,"3,196,132","3,196,132"
BP PLC,"13,967,833","13,967,833"
BRENNTAG AG,"6,230,584","6,230,584"
BRILLIANCE CHINA AUTOMOTIVE,"23,779,021","23,779,021"
BRUNNER INVESTMENT TRUST PLC/T,"359,627","359,627"
BUNZL PLC,"6,821,910","6,821,910"
CANADIAN NATL RAILWAY CO,"1,865,172,590","1,865,172,590"
CAPITA PLC,"1,698,165","1,698,165"
CARLSON TRAVEL INC,"40,005","40,005"
CASIO COMPUTER CO LTD,"4,997,914","4,997,914"
CBRE CLARION GLOBAL REAL ESTAT,"1,352,574","1,352,574"
CHINA CONCH VENTURE HOLDINGS,"82,492,833","82,492,833"
CHINA FORESTRY HOLDINGS CO,622,622
CHINA LESSO GROUP HOLDINGS L,"6,129,613","6,129,613"
CHINA MERCHANTS BANK A,"39,415,935","39,415,935"
CHINA NATIONAL BUILDING MA H,"28,025,448","28,025,448"
CHUBB LTD,"1,577,680","1,577,680"
CIA DE MINAS BUENAVENTUR ADR,"11,949,113","11,949,113"
CIE FINANCIERE RICHEMO A REG,"34,637","34,637"
CISCO SYSTEMS INC,"3,020,625","3,020,625"
CK ASSET HOLDINGS LTD,"6,182,619","6,182,619"
CK HUTCHISON HOLDINGS LTD,"9,970,389","9,970,389"
CNH INDUSTRIAL NV,"7,784,801","7,784,801"
COCA COLA FEMSA SAB DE CV,"646,869","646,869"
COHEN + STEERS QUALITY INCOME,"410,862","410,862"
COMCAST CORP CLASS A,"2,698,600","2,698,600"
COMPASS GROUP PLC,"9,347,117","9,347,117"
CONSUMER STAPLES SELECT SECTOR,"1,719,975","1,719,975"
CONVATEC GROUP PLC,"5,194,493","5,194,493"
CRH PLC,"1,076,342","1,076,342"
CTS EVENTIM AG + CO KGAA,"2,729,605","2,729,605"
DAI ICHI LIFE HOLDINGS INC,"121,451,197","121,451,197"
DAIHEN CORP,"21,098,198","21,098,198"
DAIRY FARM INTL HLDGS LTD,"7,486,401","7,486,401"
DAIWA SECURITIES GROUP INC,"4,515,405","4,515,405"
DALI FOODS GROUP CO LTD,"2,648,967","2,648,967"
DAVIDE CAMPARI MILANO NV,"2,360,993","2,360,993"
DELAWARE INVTS MINN MUN,"369,656","369,656"
DENKA CO LTD,"16,538,438","16,538,438"
DEUTSCHE TELEKOM AG REG,"3,470,435","3,470,435"
DIAGEO PLC,"20,524,018","20,524,018"
DNB ASA,"2,848,835","2,848,835"
DON JERSEY TOPCO LIMITED,"1,174,210","1,174,210"
DOSHISHA CO LTD,"7,177,376","7,177,376"
DOUBLELINE YIELD OPPORTUNITIES,"64,156","64,156"
DTF TAX FREE INCOME INC,"4,470","4,470"
EASTMAN CHEMICAL CO,"2,507,000","2,507,000"
EATON CORP PLC,"3,135,654","3,135,654"
EATON VANCE LTD DURATION INCOM,"212,972","212,972"
EATON VANCE SHORT DURATION DIV,"292,487","292,487"
EBARA CORP,"10,954,254","10,954,254"
EDENRED,"6,415,791","6,415,791"
ELIS SA,"1,171,675","1,171,675"
EMAAR PROPERTIES PJSC,"27,717,625","27,717,625"
